Open time,Open,High,Low,Close,Volume
1500004800000.0,0.08,0.0864,0.08,0.086347,166.381
1500008400000.0,0.085874,0.086205,0.084581,0.085399,113.992
1500012000000.0,0.085399,0.087379,0.085398,0.0872,215.007
1500015600000.0,0.087005,0.088669,0.087,0.088591,150.77
1500019200000.0,0.086252,0.088888,0.086252,0.088888,80.341
1500022800000.0,0.088877,0.089273,0.0886,0.088761,60.153
1500026400000.0,0.088707,0.088898,0.088339,0.088587,48.839
1500030000000.0,0.088587,0.088902,0.088587,0.088817,19.845
1500033600000.0,0.088657,0.088817,0.087399,0.087477,69.712
1500037200000.0,0.087165,0.087817,0.086883,0.087433,138.691
1500040800000.0,0.086874,0.087198,0.086449,0.087165,144.243
1500044400000.0,0.08692,0.08717,0.086288,0.086288,30.985
1500048000000.0,0.085999,0.08678,0.085477,0.08678,52.649
1500051600000.0,0.086347,0.086762,0.08585,0.086075,143.114
1500055200000.0,0.086075,0.087836,0.086075,0.087836,35.344
1500058800000.0,0.087836,0.088712,0.087836,0.0885,21.422
1500062400000.0,0.089,0.089368,0.089,0.089368,6.601
1500066000000.0,0.09,0.09,0.09,0.09,0.174
1500069600000.0,0.090297,0.090297,0.090108,0.090108,9.127
1500073200000.0,0.089939,0.091033,0.089939,0.090993,434.667
1500076800000.0,0.090993,0.092569,0.090993,0.091592,25.743
1500080400000.0,0.092569,0.092569,0.091587,0.091587,8.863
1500084000000.0,0.090123,0.090483,0.089625,0.090458,39.23
1500087600000.0,0.090424,0.091928,0.090253,0.091068,49.1
1500091200000.0,0.091355,0.091513,0.091222,0.091513,122.909
1500094800000.0,0.091621,0.092085,0.09061,0.091362,113.39
1500098400000.0,0.091685,0.092583,0.090738,0.091905,100.343
1500102000000.0,0.0916,0.092874,0.0916,0.092553,149.146
1500105600000.0,0.092607,0.093699,0.092167,0.092167,312.949
1500109200000.0,0.09233,0.092963,0.091606,0.091661,289.62
1500112800000.0,0.091964,0.092555,0.09163,0.092268,211.163
1500116400000.0,0.092086,0.093,0.091945,0.092661,259.827
1500120000000.0,0.092399,0.093051,0.092084,0.092951,198.437
1500123600000.0,0.092708,0.092708,0.092435,0.092435,6.543
1500127200000.0,0.092435,0.0925,0.092412,0.092412,40.502
1500130800000.0,0.090354,0.090746,0.089288,0.089962,162.191
1500134400000.0,0.090162,0.090416,0.089363,0.089807,267.159
1500138000000.0,0.089661,0.089798,0.08866,0.089648,231.797
1500141600000.0,0.089668,0.089879,0.088222,0.088565,236.212
1500145200000.0,0.088502,0.089244,0.088301,0.088985,205.628
1500148800000.0,0.088985,0.08944,0.088075,0.088639,256.431
1500152400000.0,0.088629,0.088876,0.088079,0.088373,272.263
1500156000000.0,0.088374,0.088437,0.087183,0.087545,242.968
1500159600000.0,0.087643,0.088128,0.087127,0.087635,210.652
1500163200000.0,0.087508,0.087635,0.086154,0.086238,256.043
1500166800000.0,0.086566,0.086676,0.085475,0.085916,235.44
1500170400000.0,0.085866,0.086362,0.085213,0.085213,216.606
1500174000000.0,0.085295,0.085548,0.083316,0.084015,298.394
1500177600000.0,0.08394,0.084635,0.083684,0.083918,235.24
1500181200000.0,0.083902,0.083968,0.081619,0.08177,238.989
1500184800000.0,0.08181,0.083286,0.080105,0.082561,290.423
1500188400000.0,0.08203,0.082976,0.08125,0.081308,221.222
1500192000000.0,0.08166,0.081689,0.080079,0.080204,500.216
1500195600000.0,0.080191,0.081896,0.079898,0.081358,498.869
1500199200000.0,0.081607,0.081773,0.078006,0.078006,481.942
1500202800000.0,0.078243,0.079454,0.076099,0.076335,707.44
1500206400000.0,0.077049,0.078169,0.075591,0.07661,609.805
1500210000000.0,0.076615,0.081416,0.076021,0.081243,664.74
1500213600000.0,0.081254,0.081318,0.078226,0.079809,506.808
1500217200000.0,0.079744,0.082229,0.079673,0.081625,508.148
1500220800000.0,0.081852,0.085203,0.081567,0.084597,383.907
1500224400000.0,0.084744,0.085408,0.083305,0.083353,252.222
1500228000000.0,0.083515,0.083675,0.081475,0.082203,329.022
1500231600000.0,0.082012,0.082012,0.079079,0.079222,333.474
1500235200000.0,0.079641,0.08199,0.079531,0.081458,292.135
1500238800000.0,0.081212,0.081347,0.079912,0.081262,265.387
1500242400000.0,0.081226,0.083628,0.0808,0.082354,273.571
1500246000000.0,0.082399,0.084061,0.081475,0.082241,304.115
1500249600000.0,0.082368,0.08356,0.081699,0.083132,298.003
1500253200000.0,0.083149,0.085269,0.082686,0.084556,323.696
1500256800000.0,0.08483,0.085282,0.083268,0.083586,285.727
1500260400000.0,0.083508,0.08474,0.082467,0.084511,324.29
1500264000000.0,0.084975,0.086249,0.084296,0.08473,285.132
1500267600000.0,0.084821,0.085815,0.083875,0.08543,276.877
1500271200000.0,0.085813,0.087178,0.085482,0.086749,245.771
1500274800000.0,0.086559,0.088394,0.086085,0.087343,255.88
1500278400000.0,0.087343,0.088186,0.086847,0.087784,306.472
1500282000000.0,0.087909,0.088119,0.086243,0.08774,231.046
1500285600000.0,0.087743,0.088165,0.087017,0.087494,289.53
1500289200000.0,0.087607,0.08806,0.084999,0.08517,274.448
1500292800000.0,0.085079,0.085674,0.083397,0.085069,297.33
1500296400000.0,0.085033,0.086015,0.083082,0.084086,250.008
1500300000000.0,0.084203,0.08631,0.083239,0.085798,303.0
1500303600000.0,0.086094,0.086707,0.083762,0.084557,247.867
1500307200000.0,0.084662,0.085598,0.084383,0.084926,270.8
1500310800000.0,0.084773,0.085975,0.083875,0.085028,255.979
1500314400000.0,0.084812,0.085144,0.083837,0.084089,236.79
1500318000000.0,0.084001,0.084948,0.083803,0.08453,287.447
1500321600000.0,0.084527,0.087345,0.084257,0.086139,297.689
1500325200000.0,0.086357,0.087203,0.08524,0.085601,300.362
1500328800000.0,0.085707,0.08772,0.085644,0.087405,262.908
1500332400000.0,0.087555,0.088178,0.086665,0.087537,243.881
1500336000000.0,0.087831,0.0883,0.0865,0.086819,291.647
1500339600000.0,0.086819,0.087911,0.086114,0.087911,309.421
1500343200000.0,0.087911,0.087911,0.086152,0.086533,255.638
1500346800000.0,0.086517,0.086634,0.085751,0.08624,291.187
1500350400000.0,0.086151,0.086289,0.084777,0.086039,287.921
1500354000000.0,0.085863,0.087203,0.085325,0.086907,266.165
1500357600000.0,0.087309,0.087342,0.086005,0.086481,278.154
1500361200000.0,0.086301,0.087337,0.086036,0.086567,268.458
1500364800000.0,0.086373,0.087238,0.086216,0.0865,297.138
1500368400000.0,0.086513,0.08796,0.086457,0.0878,284.569
1500372000000.0,0.087679,0.088261,0.087471,0.08807,291.127
1500375600000.0,0.087876,0.088282,0.08775,0.088048,250.244
1500379200000.0,0.088048,0.089997,0.088048,0.08957,354.758
1500382800000.0,0.089489,0.089724,0.088093,0.088946,329.892
1500386400000.0,0.088818,0.094289,0.088673,0.094289,363.838
1500390000000.0,0.09419,0.098279,0.09419,0.09629,434.073
1500393600000.0,0.09666,0.097687,0.093696,0.095349,396.559
1500397200000.0,0.095195,0.09636,0.0943,0.095118,295.752
1500400800000.0,0.095288,0.098886,0.09482,0.098691,305.726
1500404400000.0,0.098724,0.108113,0.098724,0.108109,302.972
1500408000000.0,0.107797,0.109068,0.107394,0.108351,299.235
1500411600000.0,0.109004,0.109068,0.108276,0.109067,282.278
1500415200000.0,0.10894,0.109068,0.10818,0.108239,253.98
1500418800000.0,0.108887,0.109066,0.107727,0.107732,255.009
1500422400000.0,0.107732,0.108732,0.107641,0.108406,249.997
1500426000000.0,0.10852,0.108546,0.099541,0.100454,342.68
