Open time,Open,High,Low,Close,Volume
1499990400000.0,0.019,0.019895,0.016806,0.018711,5283.28
1500076800000.0,0.018929,0.0209,0.017443,0.019504,21121.59
1500163200000.0,0.019518,0.021594,0.019359,0.021418,11790.03
1500249600000.0,0.021392,0.021543,0.019077,0.019133,8425.31
1500336000000.0,0.019094,0.019531,0.018557,0.01901,8218.13
1500422400000.0,0.019061,0.019328,0.017702,0.017929,8221.73
1500508800000.0,0.017891,0.018251,0.01506,0.015674,9511.09
1500595200000.0,0.015642,0.017628,0.015551,0.017004,9278.52
1500681600000.0,0.016992,0.017069,0.015864,0.016506,11920.7
1500768000000.0,0.01654,0.016688,0.016083,0.016355,9985.53
1500854400000.0,0.016363,0.016493,0.015982,0.016147,10636.08
1500940800000.0,0.01619,0.016735,0.015808,0.016486,10238.66
1501027200000.0,0.016485,0.016959,0.016332,0.016643,12192.96
1501113600000.0,0.016646,0.01671,0.015666,0.015784,16535.12
1501200000000.0,0.015822,0.015927,0.013592,0.014319,24586.77
1501286400000.0,0.014321,0.015319,0.01419,0.015069,25069.55
1501372800000.0,0.015069,0.015508,0.014374,0.014483,23339.35
1501459200000.0,0.014483,0.015828,0.013014,0.014782,26190.59
1501545600000.0,0.014782,0.0162,0.014693,0.015801,33527.69
1501632000000.0,0.015786,0.015859,0.015265,0.015319,46221.39
1501718400000.0,0.015319,0.015636,0.014927,0.015126,25303.79
1501804800000.0,0.015113,0.015285,0.014879,0.014987,25640.07
1501891200000.0,0.014986,0.015602,0.014005,0.014336,26888.56
1501977600000.0,0.01437,0.014586,0.013738,0.014164,25709.95
1502064000000.0,0.014164,0.014393,0.01348,0.013586,28553.02
1502150400000.0,0.013574,0.014421,0.01325,0.014168,24378.1
1502236800000.0,0.014183,0.014994,0.013718,0.013907,29372.13
1502323200000.0,0.013928,0.014351,0.013624,0.01367,28192.66
1502409600000.0,0.013658,0.013971,0.012882,0.013015,59622.06
1502496000000.0,0.013015,0.013516,0.011993,0.012003,111515.19
1502582400000.0,0.012003,0.012085,0.010729,0.010962,47964.94
1502668800000.0,0.010961,0.01186,0.010425,0.010508,38245.6
1502755200000.0,0.010508,0.011332,0.00983,0.010339,44285.91
1502841600000.0,0.010344,0.010669,0.010003,0.010046,41845.22
1502928000000.0,0.010013,0.010259,0.009737,0.010076,31348.92
1503014400000.0,0.010083,0.011518,0.01001,0.011286,48633.76
1503100800000.0,0.011324,0.011324,0.010675,0.010826,35423.83
1503187200000.0,0.010852,0.011543,0.010632,0.011219,39417.1
1503273600000.0,0.011218,0.012194,0.010988,0.011846,45099.29
1503360000000.0,0.01187,0.012409,0.01109,0.01136,39282.83
1503446400000.0,0.011342,0.015822,0.011053,0.012724,66644.84
1503532800000.0,0.012724,0.012982,0.011538,0.011558,62578.89
1503619200000.0,0.011558,0.011856,0.011363,0.011751,37290.39
1503705600000.0,0.011751,0.012117,0.011522,0.01187,32149.12
1503792000000.0,0.011869,0.014804,0.011711,0.014,78078.37
1503878400000.0,0.013997,0.015094,0.01381,0.014249,50847.05
1503964800000.0,0.014247,0.014446,0.013176,0.013774,40334.72
1504051200000.0,0.013789,0.014196,0.0132,0.014139,42093.37
1504137600000.0,0.014128,0.015646,0.01385,0.015362,50828.65
1504224000000.0,0.015354,0.0185,0.014916,0.017796,79313.06
1504310400000.0,0.017796,0.018993,0.016106,0.017216,61523.4
1504396800000.0,0.017217,0.017678,0.016755,0.016935,49341.56
1504483200000.0,0.016943,0.017215,0.014963,0.015711,61102.38
1504569600000.0,0.015711,0.0168,0.015158,0.016695,47517.2
1504656000000.0,0.016695,0.017735,0.016694,0.017306,28821.51
1504742400000.0,0.017306,0.018,0.016906,0.017275,34878.29
1504828800000.0,0.017275,0.0176,0.015784,0.016809,58347.79
1504915200000.0,0.016809,0.016825,0.016122,0.016355,37996.69
1505001600000.0,0.016355,0.016414,0.015436,0.015744,43525.21
1505088000000.0,0.015734,0.016418,0.015634,0.01617,58763.64
1505174400000.0,0.01617,0.016423,0.015889,0.015969,33924.58
